#F tmpPSD.dat
#S 1  power spectral density
#N 5
#L  freq[m^-1]  psd_heights[m^3]  psd_slopes[rad^3]  csd_h  csd_s
8.666666666666667140e+01 6.867878243772702471e-23 2.094844043875719775e-17 9.999976885890218270e-01 9.701805102686861249e-01
8.750000000000000000e+01 1.886020830599680955e-22 5.870733772366714511e-17 9.999977164587348089e-01 9.702527291917451002e-01
8.833333333333332860e+01 1.578866728142309030e-22 5.014553297387089872e-17 9.999977539918093461e-01 9.703514106053344745e-01
8.916666666666665719e+01 5.133583652494555651e-22 1.663312748919369276e-16 9.999978267038043267e-01 9.705476295152530852e-01
9.000000000000000000e+01 3.630582848472685799e-23 1.199839690182784650e-17 9.999978862456632145e-01 9.707092413024933641e-01
9.083333333333332860e+01 3.165776881980542661e-22 1.066962922881443068e-16 9.999979244714376492e-01 9.708167937994751640e-01
9.166666666666665719e+01 2.882010514544860738e-22 9.904138337777126144e-17 9.999979899835217401e-01 9.710031901012846633e-01
9.249999999999998579e+01 1.536890356295363471e-22 5.384525826897149651e-17 9.999980378508440682e-01 9.711416807174150234e-01
9.333333333333334281e+01 5.870247437438267209e-23 2.096414191379011437e-17 9.999980608579509544e-01 9.712094387614955693e-01
9.416666666666667140e+01 5.197284744217880551e-22 1.891678197466988817e-16 9.999981235159267623e-01 9.713997389012953843e-01
9.500000000000000000e+01 4.211168797952819800e-22 1.561919630558685161e-16 9.999982254320862740e-01 9.717124233779756981e-01
9.583333333333332860e+01 3.542030411309504517e-23 1.338536005088288495e-17 9.999982748860295478e-01 9.718659197633331415e-01
9.666666666666667140e+01 1.082006486655588726e-23 4.165498911331162587e-18 9.999982798949720308e-01 9.718818048982205138e-01
9.750000000000000000e+01 1.891086885084775006e-22 7.415609465099379180e-17 9.999983015520577112e-01 9.719526899497074046e-01
9.833333333333332860e+01 2.184713973476089179e-22 8.725053835666791482e-17 9.999983457027681322e-01 9.720987549128389249e-01
9.916666666666665719e+01 2.778033181594681137e-22 1.129770377108121114e-16 9.999983994612340332e-01 9.722799204012565477e-01
1.000000000000000000e+02 2.912229016889314458e-22 1.205867665480014205e-16 9.999984611004311130e-01 9.724912057930437115e-01
1.008333333333333286e+02 1.068895901796858467e-22 4.505822792456284764e-17 9.999985042255666867e-01 9.726410229722114442e-01
1.016666666666666714e+02 1.012479330843483793e-22 4.344438564531150046e-17 9.999985267718541904e-01 9.727210594702535573e-01
1.025000000000000000e+02 3.073873581336596875e-22 1.342417257190838637e-16 9.999985710368586300e-01 9.728817283374888714e-01
1.033333333333333428e+02 1.745484461564907721e-22 7.757427977803574418e-17 9.999986232420644550e-01 9.730732237701127385e-01
1.041666666666666714e+02 3.184889641004917744e-23 1.440268827570131900e-17 9.999986455998459700e-01 9.731563651919020730e-01
1.050000000000000000e+02 1.035988938638386741e-22 4.766502213451349727e-17 9.999986602720892792e-01 9.732124665032015898e-01
1.058333333333333286e+02 2.923607654768777230e-22 1.368384952878797702e-16 9.999987031640130697e-01 9.733792151105974400e-01
1.066666666666666714e+02 1.079301528791339450e-22 5.138382289862428814e-17 9.999987465251142238e-01 9.735492952259747756e-01
1.075000000000000000e+02 2.275653101800079846e-23 1.101881446345817418e-17 9.999987606816143071e-01 9.736056764961720233e-01
1.083333333333333286e+02 8.291512127554830630e-23 4.082811814219125343e-17 9.999987721283865039e-01 9.736525181215101021e-01
1.091666666666666572e+02 2.511885160256150388e-22 1.257693060920643741e-16 9.999988083198164679e-01 9.738030169643258072e-01
1.099999999999999858e+02 1.155402434407214206e-22 5.881805878701078171e-17 9.999988480453272377e-01 9.739697401927804865e-01
1.108333333333333428e+02 6.122648720746709792e-23 3.168643147644169558e-17 9.999988671933985884e-01 9.740514753444770024e-01
