#F spectrum.dat

#S 1 Wiggler spectrum
#N 3
#L PhotonEnergy[eV]  Flux[phot/s/0.1%bw]  PowerDensity[W/eV]
 2.000537074148e+04   2.181783008549e+14   3.495601727956e-02  
 2.000541082164e+04   2.181777600372e+14   3.495593063101e-02  
 2.000545090180e+04   2.181772192207e+14   3.495584398265e-02  
 2.000549098196e+04   2.181766784054e+14   3.495575733449e-02  
 2.000553106212e+04   2.181761375912e+14   3.495567068651e-02  
 2.000557114228e+04   2.181755967784e+14   3.495558403874e-02  
 2.000561122244e+04   2.181750559667e+14   3.495549739115e-02  
 2.000565130261e+04   2.181745151561e+14   3.495541074375e-02  
 2.000569138277e+04   2.181739743468e+14   3.495532409655e-02  
 2.000573146293e+04   2.181734335387e+14   3.495523744954e-02  
 2.000577154309e+04   2.181728927318e+14   3.495515080272e-02  
 2.000581162325e+04   2.181723519261e+14   3.495506415610e-02  
 2.000585170341e+04   2.181718111216e+14   3.495497750967e-02  
 2.000589178357e+04   2.181712703184e+14   3.495489086343e-02  
 2.000593186373e+04   2.181707295163e+14   3.495480421738e-02  
 2.000597194389e+04   2.181701887154e+14   3.495471757153e-02  
 2.000601202405e+04   2.181696479157e+14   3.495463092587e-02  
 2.000605210421e+04   2.181691071172e+14   3.495454428040e-02  
 2.000609218437e+04   2.181685663199e+14   3.495445763512e-02  
 2.000613226453e+04   2.181680255238e+14   3.495437099004e-02  
 2.000617234469e+04   2.181674847289e+14   3.495428434514e-02  
 2.000621242485e+04   2.181669439353e+14   3.495419770045e-02  
 2.000625250501e+04   2.181664031428e+14   3.495411105594e-02  
 2.000629258517e+04   2.181658623515e+14   3.495402441163e-02  
 2.000633266533e+04   2.181653215614e+14   3.495393776750e-02  
 2.000637274549e+04   2.181647807726e+14   3.495385112358e-02  
 2.000641282565e+04   2.181642399849e+14   3.495376447984e-02  
 2.000645290581e+04   2.181636991984e+14   3.495367783630e-02  
 2.000649298597e+04   2.181631584132e+14   3.495359119294e-02  
 2.000653306613e+04   2.181626176291e+14   3.495350454978e-02  
 2.000657314629e+04   2.181620768462e+14   3.495341790682e-02  
 2.000661322645e+04   2.181615360646e+14   3.495333126404e-02  
 2.000665330661e+04   2.181609952841e+14   3.495324462147e-02  
 2.000669338677e+04   2.181604545049e+14   3.495315797908e-02  
 2.000673346693e+04   2.181599137268e+14   3.495307133688e-02  
 2.000677354709e+04   2.181593729500e+14   3.495298469488e-02  
 2.000681362725e+04   2.181588321743e+14   3.495289805307e-02  
 2.000685370741e+04   2.181582913998e+14   3.495281141145e-02  
 2.000689378758e+04   2.181577506266e+14   3.495272477002e-02  
 2.000693386774e+04   2.181572098545e+14   3.495263812878e-02  
 2.000697394790e+04   2.181566690837e+14   3.495255148775e-02  
 2.000701402806e+04   2.181561283140e+14   3.495246484690e-02  
 2.000705410822e+04   2.181555875456e+14   3.495237820625e-02  
 2.000709418838e+04   2.181550467783e+14   3.495229156578e-02  
 2.000713426854e+04   2.181545060123e+14   3.495220492551e-02  
 2.000717434870e+04   2.181539652475e+14   3.495211828543e-02  
 2.000721442886e+04   2.181534244838e+14   3.495203164555e-02  
 2.000725450902e+04   2.181528837214e+14   3.495194500586e-02  
 2.000729458918e+04   2.181523429602e+14   3.495185836636e-02  
 2.000733466934e+04   2.181518022002e+14   3.495177172705e-02  
 2.000737474950e+04   2.181512614413e+14   3.495168508793e-02  
 2.000741482966e+04   2.181507206837e+14   3.495159844901e-02  
 2.000745490982e+04   2.181501799273e+14   3.495151181028e-02  
 2.000749498998e+04   2.181496391720e+14   3.495142517174e-02  
 2.000753507014e+04   2.181490984180e+14   3.495133853340e-02  
 2.000757515030e+04   2.181485576652e+14   3.495125189525e-02  
